Block size, Scaling factor bitwidth, Quantisation bitwidth, Mean EVM, Compression rate,CR/EVM
1024,12,12,"1,960343","1,332033","0,6794897628"
960,12,12,"1,933683","1,331946","0,6888130061"
1024,13,12,"1,960343","1,331924","0,6794341602"
960,13,12,"1,933683","1,33183","0,6887530169"
1024,14,12,"1,960343","1,331816","0,6793790678"
960,14,12,"1,933683","1,331715","0,6886935449"
1024,15,12,"1,960343","1,331708","0,6793239754"
800,12,12,"1,908064","1,331669","0,6979163173"
768,12,12,"1,896599","1,331599","0,702098335"
960,15,12,"1,933683","1,331599","0,6886335558"
1024,16,12,"1,960343","1,331599","0,6792683729"
800,13,12,"1,908064","1,33153","0,6978434686"
960,16,12,"1,933683","1,331484","0,6885740838"
768,13,12,"1,896599","1,331455","0,7020224096"
800,14,12,"1,908064","1,331392","0,6977711439"
768,14,12,"1,896599","1,331311","0,7019464842"
640,12,12,"1,859573","1,331253","0,7158917666"
800,15,12,"1,908064","1,331253","0,6976982952"
768,15,12,"1,896599","1,331167","0,7018705588"
600,12,12,"1,845848","1,331115","0,7211400939"
800,16,12,"1,908064","1,331115","0,6976259706"
640,13,12,"1,859573","1,33108","0,7157987344"
768,16,12,"1,896599","1,331023","0,7017946334"
600,13,12,"1,845848","1,33093","0,7210398689"
640,14,12,"1,859573","1,330907","0,7157057023"
600,14,12,"1,845848","1,330746","0,7209401858"
512,12,12,"1,822757","1,330734","0,7300665969"
640,15,12,"1,859573","1,330734","0,7156126702"
480,12,12,"1,811343","1,330561","0,7345715306"
600,15,12,"1,845848","1,330561","0,7208399608"
640,16,12,"1,859573","1,330561","0,7155196381"
512,13,12,"1,822757","1,330518","0,7299480951"
600,16,12,"1,845848","1,330377","0,7207402776"
480,13,12,"1,811343","1,330331","0,734444553"
512,14,12,"1,822757","1,330302","0,7298295933"
480,14,12,"1,811343","1,3301","0,7343170233"
512,15,12,"1,822757","1,330086","0,7297110915"
400,12,12,"1,792283","1,330008","0,7420747728"
